brewery,name,color,style,alcohol_level,ibu_level,beer_country,beer_description,tag_list,photo,photo_path
NovaBirra,Big Nose,Ambrée,Triple,"9,00%",45,Belgique,"Big Nose est brassée dans le style Triple à partir de malts d’orge Pilsner, Pale Ale et Munich. Cette bière de dégustation est produite avec une quantité généreuse de houblons Nugget et Willamette. Afin d’intensifier les notes aromatiques, la bière est infusée à froid (dry-hopping) avec du houblon alsacien Triskel pendant sa maturation. BIG NOSE se caractérise par une structure gustative complexe dont la puissance et l’équilibre raviront vos sens.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",big-nose.webp,big-nose
Brasserie Dubuisson,Bush Prestige,Ambrée,Belgian Strong Ale,"13,00%",26,Belgique,"La Bush Prestige est, au départ, une Bush Caractère dont la garde traditionnelle en cuves inox a été remplacée par un mûrissement en fûts de chêne pendant une période de 6 mois. 

Lors de la mise en bouteilles, une faible quantité de sucre et de levure sont ajoutés à la bière ,qui, placée en chambre chaude, développe une refermentation en bouteille qui lui confère un trouble naturel ainsi qu’un taux d’alcool particulièrement élevé de 13%.

Le mûrissement à l’ancienne, en fûts de chêne, permet au dégustateur de retrouver des arômes et des tannins introuvables dans les bières depuis des décennies qui raviront les palais les plus exigeants. On y retrouve des arômes proches des whiskies, des eaux de vie mûries en fûts de chêne mais dans un ensemble d’une rondeur exceptionnelle.

Le goût puissant, les arômes riches, la bouteille exclusive ainsi qu’une distribution limitée font de la Bush Prestige une bière d’exception.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",bush-prestige.webp,bush-prestige
Abbaye de Scourmont - Chimay,Chimay Rouge,Ambrée,Double,"7,00%",21,Belgique,"Sa belle couleur brune est riche en nuances allant du cuivre chaud au rubis profond. Associant, de manière sublime, de généreuses saveurs fruitées et du caramel sucré, elle ravit tous les palais. La succession de fruits mûrs, tels que l'orange, la pêche et l'abricot, se marie de façon exquise aux saveurs sucrées de malt, comme le nougat et le biscuit. Une minéralité rafraîchissante et une belle amertume complètent la palette gustative. La longue bouche permet de savourer longtemps cette magnifique alliance d'arômes et de saveurs et fait aspirer à la gorgée suivante.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",chimay-rouge.webp,chimay-rouge
Brussels Beer Project,Devil Drop,Ambrée,Isotonic Cold IPA,"5,50%",50,Belgique,"La ville est notre terrain de jeu ! La Devil Drop est notre collaboration avec Urban Session, mais elle est aussi une figure de parkour ! Dankness, mandarine et zeste d'agrumes, mais aussi notes herbacées de menthe, d'épices, de pin et une touche de sel. Il est maintenant de sortir retourner la ville !","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",devil-drop.webp,devil-drop
BRLO,German IPA,Ambrée,IPA,"7,00%",50,Allemagne,"Nez riche, entre ses différents houblons qui offrent melon, fruits exotiques, menthe et pin. En bouche, elle prend d’assaut nos papilles avec ses notes d’agrumes, de caramel, de malt légèrement noisetté. Viennent ensuite des notes épicées et poivrées, qui s’associent avec une amertume montant crescendo. La finale est amère et à nouveau fruitée, avec une saveur de mangue qui persiste.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",german-ipa.webp,german-ipa
NovaBirra,Holy IPA,Ambrée,American IPA,"6,50%",50,Belgique,"Holy IPA est brassée dans le style American IPA à partir de malts Pilsner, Vienna, Cara et Wheat. Cette bière de dégustation est produite avec une quantité généreuse de houblons Chinook et Mosaic. Afin d’intensifier les notes aromatiques, HOLY IPA est infusée à froid (dry-hopping) avec des houblons Chinook et Mosaic. Cette bière d’inspiration américaine exprime un caractère houblonné original avec des notes complexes de fruits tropicaux.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",holy-ipa.webp,holy-ipa
Brussels Beer Project,Delta IPA,Ambrée,Belgian IPA,"6,00%",45,Belgique,"Ce n'est pas une bière belge comme les autres. Ses houblons aromatiques apportent à la Delta IPA des notes de litchi et de fruit de la passion avant de vous surprendre avec une amertume franche et désaltérante. La levure Saison apporte sa touche belge avec une touche épicée et sèche.

La Delta IPA est notre première bière. Lancée en 2013 alors que les IPA étaient encore inconnues en Belgique. Elle est profondément impliquée dans le processus de cocréation, élue par plus de 850 Bruxellois à l'été 2013, contre trois autres prototypes (Alpha, Beta et Gamma). Aujourd'hui, elle reste la star parmi les All-Stars !","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",juice-junkie.webp,juice-junkie
Brussels Beer Project,Jungle Joy,Ambrée,Double,"5,90%",20,Belgique,"Jungle Joy, l'écrin exotique de la mangue et du fruit de la passion dans une bière, sans sucre ajouté ni arômes artificiels, rien que du bon ! Cette bière généreuse pour les connaisseurs possède non seulement une fraîcheur fruitée mais aussi une belle touche acidulée.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",jungle-joy.webp,jungle-joy
Abbaye de Leffe,Leffe Ambrée,Ambrée,Pale Ale,"6,50%",25,Belgique,"Leffe Ambrée est une bière avec deux malts et une saveur prononcée, capable de mettre en valeur différents goûts grâce à un houblonnage spécialement conçu.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",leffe-ambree.webp,leffe-ambree
Brasserie du Borinage,Mulet Pils,Ambrée,Wheat Lager,"5,20%",28,Belgique,"La Mulet Pils est une lager au froment, trouble, à mi-chemin entre une pils et une blanche. Ses arômes sont portés sur les céréales. En bouche, elle surprend par la douceur apportée par l’avoine, le peps venant du froment et l’amertume fruitée et délicate des houblons Saaz et Bramling cross.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",mulet-pils.webp,mulet-pils
La Musteline,Musteline Ambrée,Ambrée,Red Ale,"3,30%",27,France,"Un nez sur le caramel et les malts grillés, que les houblons (bien que discrets) complètent d’arômes plus légers et floraux. En bouche, le caramel est toujours de la partie, avec une attaque portée également sur le pain. Le corps est rond, la pétillance fine. On termine par le pain et le caramel, portés par l’amertume jusqu’en longueur pour conclure par une sensation très douce.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",musteline.webp,musteline
La Pinte Française,Origines,Ambrée,Red Ale,"5,50%",28,France,"Les malts sont clairement l’ingrédient le plus expressif de cette Red Ale : cela se prouve dès le nez. On perçoit très nettement dans ce dernier des arômes de pains grillés et de caramel. Ce n’est qu’ensuite qu’on reconnaît les houblons, plus floraux et verts. En bouche, l’attaque est caramélisée et céréalière. La fine amertume porte les saveurs plus vertes et résineuses des houblons. FloFloraleral et quelque peu anisée le temps d’un instant, elle revient rapidement sur des saveurs grillées et torréfiées jusqu’en longueur, pour une finale assez longue et toastée.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",origines.webp,origines
Brasserie d’Orval,Orval,Ambrée,Pale Ale,"6,20%",32,Belgique,"L'Orval est une bière trappiste de dégustation, à la belle couleur orangée et présentant un beau nez aromatique. Elle est brassée à l'Abbaye d'Orval en Belgique. C'est une bière à l'arôme houblonné intense qui dévoile une légère acidité astringente et gagne à mûrir en cave pendant quelques années, debout et à l'abri de la lumière.

Ce caractère complexe de l'Orval vient en partie de trois fermentations séparées et du houblon local utilisé pour la produire. Le poisson à l'anneau d'or est resté l'emblème de la brasserie de la fontaine Mathilde dans laquelle miroitent aujourd'hui les ruines de l'abbaye médiévale, lui fournissant toujours l'eau pure de sa source.

Une bière belge de référence à déguster entre amis et à consommer à différentes températures pour en révéler tous les arômes. Il est conseillé de verser le dépôt séparément lors de la dégustation. Dans le verre, elle nous présente une robe très légèrement ambrée, surmontée d'une généreuse mousse blanche. Le nez est partagé entre notes sur le houblon frais mais aussi sur la levure sauvage. La bouche, qui présente une magnifique pétillance est elle aussi portée sur la brett, à savoir la levure sauvage. Le final est amer, sur une belle longueur.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",orval.webp,orval
Une Petite Mousse x BAPBAP,Paris-Tropiques,Ambrée,Pale Ale,"4,50%",32,France,"Une Pale Ale tout en complexité maltée. On perçoit rapidement les arômes de caramel et de bonbon au premier nez qui laissent ensuite la place à un côté plus vert d’herbes séchées et de fruits confits. En bouche, l’attaque proposée est houblonnée et torréfiée. Les houblons assez verts nous apportent amertume et épices pour une longueur plutôt complexe et durable.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",paris-tropiques.webp,paris-tropiques
Peak Beer,Peak Grand Cru,Ambrée,Strong Golden Ale,"10,50%",24,Belgique,La Peak Grand Cru est produite avec une levure spécialement sélectionnée afin de lui apporter un superbe bouquet de fruits mûrs comme la banane. C’est une bière blonde forte de dégustation qui titre à 10.5% avec une magnifique rondeur en bouche et qui persiste longtemps après la dernière gorgée.,"crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",peak-grand-cru.webp,peak-grand-cru
Peak Beer,Peak IPA,Ambrée,Belgian IPA,"6,50%",45,Belgique,"La Peak IPA est une bière de 6.5 % d’alcool à l’amertume franche et prononcée. Elle présente des arômes d’agrumes et de fruits exotiques obtenus grâce aux houblons aromatiques tels que Simcoe et Idaho utilisés en dry hopping. Avec sa belle couleur orange, elle plaira à tous les amateurs d’IPA !","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",peak-IPA.webp,peak-IPA
Brasserie Dubuisson,Pêche Mel'Bush,Ambrée,Fruit Beer,"8,50%",16,Belgique,"Créée il y a de nombreuses années par des étudiants sous la forme d’un cocktail, la Pêche Mel Bush est à l’origine un mélange de BUSH Caractère et de gueuze pêche à parts égales.
Brassée depuis 2009 par la Brasserie Dubuisson avec la même rigueur que les autres Bush et selon une recette originale à base d’extraits naturels de Pêche, la Pêche Mel Bush ravira les amateurs de bières fruitées de caractère. Les arômes et extraits naturels du fruit s’harmonisent avec l’amertume originale de la Bush Caractère pour donner une bière pleine en bouche parfaitement équilibrée.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",peche-mel-bush.webp,peche-mel-bush
Paulaner,Salvator,Ambrée,Bock / Helles,7.9%,28,Allemagne,"Effluves de caramel et notes de céréales et de miel marquent le nez indéniablement. En bouche, les notes de caramel sont précédés d'une belle attaque maltée. C'est à la fois doux et floral l'alcool est bien présent. La finale est teintée d'amertume. Une très belle Doppelbock à siroter.Brassée depuis plus de 200 ans avec une recette brevetée en 1896, la Salvator est à l’origine de ce style de bières au point que plus de 200 doppelbocks portent le suffxe “-ator” pour le rappeler.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",salvator.webp,salvator
Brasserie Silly,Silly Saison,Ambrée,Saison Ale,"5,00%",25,Belgique,"Son goût est remarquable, léger et conjugué avantageusement sur un ton à la fois modestement sucré et fruité, laissant en bouche une impression rafraîchissante comme on en redemande.","crustacé, poisson gras, volaille, canard, abat, plat épicé, fast-food, charcuterie, pâté, fromage à pâte dure, fromage persillé, caramel, crème fraîche",silly-saison.webp,silly-saison
